번호,증상,위험 질환,검사 제안,"암에 대한 설명 (영문명, 상병코드 및 기본 설명)"
35,복부 압박감,췌장암,복부 CT,Pancreatic Cancer (C25) - 췌장에서 발생하는 악성 종양으로 예후가 불량한 암입니다.
36,목의 혹 발견,갑상선암,갑상선 초음파 세침흡인 검사,Thyroid Cancer (C73) - 갑상선에서 발생하는 악성 종양으로 대부분 예후가 양호한 편입니다.
37,삼킴 곤란,갑상선암,갑상선 기능 검사,Thyroid Cancer (C73) - 갑상선에서 발생하는 악성 종양으로 대부분 예후가 양호한 편입니다.
38,쉰 목소리,갑상선암,갑상선 초음파,Thyroid Cancer (C73) - 갑상선에서 발생하는 악성 종양으로 대부분 예후가 양호한 편입니다.
39,목 통증,갑상선암,갑상선 기능 검사,Thyroid Cancer (C73) - 갑상선에서 발생하는 악성 종양으로 대부분 예후가 양호한 편입니다.
40,경부 림프절 비대,갑상선암,경부 초음파,Thyroid Cancer (C73) - 갑상선에서 발생하는 악성 종양으로 대부분 예후가 양호한 편입니다.
41,오른쪽 윗배 통증,간암,간 초음파 간 기능 검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 B형 간염과 간경변이 주요 위험 요인입니다.
42,황달,간암,간 기능 검사 AFP 혈액검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 B형 간염과 간경변이 주요 위험 요인입니다.
43,복부 팽만,간암,복부 초음파,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 B형 간염과 간경변이 주요 위험 요인입니다.
44,체중 감소,간암,간 기능 검사 CT 검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 B형 간염과 간경변이 주요 위험 요인입니다.
45,피로감,간암,간 기능 검사,Liver Cancer (C22) - 간에서 발생하는 악성 종양으로 B형 간염과 간경변이 주요 위험 요인입니다.
46,지속적인 속쓰림 및 소화불량,위암,위내시경 조직검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 헬리코박터균 감염과 식습관이 주요 원인입니다.
47,조기 포만감,위암,위내시경 CT 검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 헬리코박터균 감염과 식습관이 주요 원인입니다.
48,복통,위암,위내시경 조직검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 헬리코박터균 감염과 식습관이 주요 원인입니다.
49,체중 감소,위암,위내시경 CT 검사,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 헬리코박터균 감염과 식습관이 주요 원인입니다.
50,구역질 및 구토,위암,위내시경,Gastric Cancer (C16) - 위 점막에서 발생하는 악성 종양으로 헬리코박터균 감염과 식습관이 주요 원인입니다.
